userId,eventType,packageId,sessionTime,paid,sessionDuration,timestamp,query_text,filters,resultsCount,rating,review_text,educatorId,messageCount,lastMessageAt
user_00062,click,pkg_0413,33.1,0.0,,2025-07-30T08:34:18.903741,,,,,,,,
user_00513,view,pkg_0121,22.2,0.0,,2025-11-22T00:30:24.413398,,,,,,,,
user_00279,start_booking,pkg_0450,45.6,0.0,90.0,2025-07-20T21:45:48.022629,,,,,,,,
user_00561,view,pkg_0432,18.9,0.0,,2025-06-15T04:50:39.381188,,,,,,,,
user_00756,click,pkg_0009,58.3,0.0,,2025-06-24T22:35:26.644774,,,,,,,,
user_00676,click,pkg_0393,11.8,0.0,,2025-10-18T01:26:10.402013,,,,,,,,
user_00687,click,pkg_0272,13.1,0.0,,2025-08-23T04:15:43.651596,,,,,,,,
user_00256,search,,,,,2025-09-23T19:54:17.758953,english conversation,"{""subject"": ""History"", ""level"": ""Intermediate"", ""language"": ""fr"", ""priceRange"": ""20-50""}",185.0,,,,,
user_00067,view,pkg_0208,27.3,0.0,,2025-07-15T22:24:54.351896,,,,,,,,
user_00887,click,pkg_0023,15.0,0.0,,2025-07-27T20:19:40.517910,,,,,,,,
user_00165,start_booking,pkg_0043,49.1,0.0,45.0,2025-08-01T05:17:15.513446,,,,,,,,
user_00254,rating,pkg_0313,,,,2025-06-16T22:57:29.893739,,,,3.6,Highly recommend,,,
user_00974,view,pkg_0073,10.5,0.0,,2025-05-27T22:22:09.235430,,,,,,,,
user_00748,click,pkg_0104,14.0,0.0,,2025-08-25T05:26:59.262545,,,,,,,,
user_00716,view,pkg_0042,9.9,0.0,,2025-09-10T19:46:18.121212,,,,,,,,
user_00283,search,,,,,2025-05-28T21:45:30.765710,math tutoring,"{""subject"": ""Biology"", ""level"": ""Beginner"", ""language"": ""es"", ""priceRange"": ""100+""}",191.0,,,,,
user_00102,view,pkg_0024,47.9,0.0,,2025-08-18T21:04:31.484104,,,,,,,,
user_00108,message,,,,,2025-10-10T11:54:51.515450,,,,,,educ_0004,3.0,2025-10-10T11:54:51.515450
user_00701,click,pkg_0051,37.0,0.0,,2025-11-19T05:17:52.672538,,,,,,,,
user_00292,booking,pkg_0445,25.1,1.0,30.0,2025-09-18T13:22:03.502369,,,,,,,,
user_00644,view,pkg_0173,34.2,0.0,,2025-07-02T18:07:24.654674,,,,,,,,
user_00724,search,,,,,2025-08-19T10:57:47.855161,design portfolio,"{""subject"": ""Mathematics"", ""level"": ""Intermediate"", ""language"": ""si"", ""priceRange"": ""100+""}",153.0,,,,,
user_00779,search,,,,,2025-07-06T03:34:48.446914,math tutoring,"{""subject"": ""Design"", ""level"": ""Beginner"", ""language"": ""fr"", ""priceRange"": ""0-20""}",199.0,,,,,
user_00631,view,pkg_0347,37.8,0.0,,2025-10-23T14:57:54.708160,,,,,,,,
user_00777,view,pkg_0397,11.6,0.0,,2025-11-20T07:04:40.251453,,,,,,,,
user_00203,view,pkg_0287,52.5,0.0,,2025-10-24T00:31:57.929279,,,,,,,,
user_00922,message,,,,,2025-06-28T06:56:49.347130,,,,,,educ_0034,6.0,2025-06-28T06:56:49.347130
user_00734,view,pkg_0008,14.3,0.0,,2025-10-14T21:14:44.488710,,,,,,,,
user_00264,click,pkg_0110,53.2,0.0,,2025-07-18T19:10:24.502946,,,,,,,,
user_00988,view,pkg_0405,59.6,0.0,,2025-11-17T00:04:37.422549,,,,,,,,
user_00617,click,pkg_0133,26.9,0.0,,2025-08-03T10:06:02.857790,,,,,,,,
user_00484,search,,,,,2025-10-18T01:35:33.126822,math tutoring,"{""subject"": ""Design"", ""level"": ""Advanced"", ""language"": ""es"", ""priceRange"": ""0-20""}",62.0,,,,,
user_00592,booking,pkg_0046,22.7,1.0,30.0,2025-11-07T04:28:46.720040,,,,,,,,
user_00859,view,pkg_0003,31.4,0.0,,2025-07-19T01:13:58.024310,,,,,,,,
user_00010,view,pkg_0458,48.0,0.0,,2025-07-31T17:26:56.153329,,,,,,,,
user_00289,booking,pkg_0296,12.5,1.0,120.0,2025-09-30T10:24:07.457917,,,,,,,,
user_00876,view,pkg_0468,10.9,0.0,,2025-06-07T03:03:57.697269,,,,,,,,
user_00436,view,pkg_0440,17.6,0.0,,2025-10-19T18:05:30.111662,,,,,,,,
user_00151,search,,,,,2025-11-06T16:41:10.644830,design portfolio,"{""subject"": ""Design"", ""level"": ""Advanced"", ""language"": ""ta"", ""priceRange"": ""100+""}",182.0,,,,,
user_00814,view,pkg_0120,22.0,0.0,,2025-09-24T08:40:55.928623,,,,,,,,
user_00093,search,,,,,2025-07-24T16:55:23.352907,physics lessons,"{""subject"": ""Design"", ""level"": ""Intermediate"", ""language"": ""si"", ""priceRange"": ""100+""}",129.0,,,,,
user_00840,start_booking,pkg_0164,31.0,0.0,120.0,2025-10-15T18:57:37.221427,,,,,,,,
user_00346,view,pkg_0280,47.4,0.0,,2025-10-11T18:44:54.476716,,,,,,,,
user_00928,view,pkg_0120,37.6,0.0,,2025-08-23T17:18:23.435846,,,,,,,,
user_00784,view,pkg_0080,25.7,0.0,,2025-08-25T18:39:06.247912,,,,,,,,
user_00962,click,pkg_0083,17.5,0.0,,2025-10-11T06:44:08.294713,,,,,,,,
user_00393,search,,,,,2025-07-18T17:43:53.629850,english conversation,"{""subject"": ""Design"", ""level"": ""Intermediate"", ""language"": ""de"", ""priceRange"": ""20-50""}",9.0,,,,,
user_00367,search,,,,,2025-06-14T00:09:26.448616,design portfolio,"{""subject"": ""Art"", ""level"": ""Beginner"", ""language"": ""ta"", ""priceRange"": ""100+""}",67.0,,,,,
user_00773,click,pkg_0247,41.6,0.0,,2025-08-30T13:16:55.871651,,,,,,,,
user_00063,view,pkg_0272,5.9,0.0,,2025-08-22T03:21:55.343758,,,,,,,,
user_00191,message,,,,,2025-07-18T16:13:07.472227,,,,,,educ_0138,3.0,2025-07-18T16:13:07.472227
user_00723,view,pkg_0171,19.3,0.0,,2025-06-27T20:58:06.242152,,,,,,,,
user_00770,view,pkg_0096,35.5,0.0,,2025-08-30T06:24:14.315076,,,,,,,,
user_00854,view,pkg_0070,5.6,0.0,,2025-06-03T20:57:11.978296,,,,,,,,
